gene,TCGA.A4.7287,TCGA.A4.7583,TCGA.A4.7584,TCGA.A4.7734,TCGA.A4.7828,TCGA.A4.7915,TCGA.A4.7996,TCGA.A4.7997,TCGA.A4.8098,TCGA.A4.8311,TCGA.A4.8312,TCGA.A4.8515,TCGA.A4.8517,TCGA.A4.8518,TCGA.A4.8630,TCGA.A4.A48D,TCGA.A4.A4ZT,TCGA.A4.A5DU,TCGA.A4.A5XZ,TCGA.A4.A5Y0,TCGA.A4.A6HP,TCGA.A4.A772,TCGA.AL.3468,TCGA.AL.3471,TCGA.AL.3473,TCGA.AT.A5NU,TCGA.B1.7332,TCGA.B1.A47N,TCGA.B1.A47O,TCGA.B1.A654,TCGA.B1.A655,TCGA.B1.A656,TCGA.B1.A657,TCGA.B3.3926,TCGA.B3.4103,TCGA.B3.4104,TCGA.B3.8121,TCGA.B3.A6W5,TCGA.B9.4113,TCGA.B9.4115,TCGA.B9.7268,TCGA.B9.A5W7,TCGA.B9.A5W8,TCGA.B9.A5W9,TCGA.BQ.5876,TCGA.BQ.5881,TCGA.BQ.5883,TCGA.BQ.5884,TCGA.BQ.5888,TCGA.BQ.5892,TCGA.BQ.7045,TCGA.BQ.7046,TCGA.BQ.7049,TCGA.BQ.7050,TCGA.BQ.7051,TCGA.BQ.7055,TCGA.BQ.7059,TCGA.BQ.7060,TCGA.BQ.7061,TCGA.BQ.7062,TCGA.DW.5560,TCGA.DW.5561,TCGA.DW.7834,TCGA.DW.7836,TCGA.DW.7837,TCGA.DW.7838,TCGA.DW.7839,TCGA.DW.7840,TCGA.DW.7841,TCGA.DW.7842,TCGA.DW.7963,TCGA.DZ.6132,TCGA.DZ.6133,TCGA.DZ.6134,TCGA.DZ.6135,TCGA.EV.5901,TCGA.EV.5902,TCGA.EV.5903,TCGA.F9.A7VF,TCGA.G7.6790,TCGA.G7.6792,TCGA.G7.6795,TCGA.G7.6796,TCGA.G7.7502,TCGA.G7.A4TM,TCGA.GL.7773,TCGA.GL.8500,TCGA.GL.A4EM,TCGA.GL.A59T,TCGA.HE.7128,TCGA.HE.7129,TCGA.HE.A5NF,TCGA.HE.A5NH,TCGA.HE.A5NI,TCGA.HE.A5NL,TCGA.IA.A40X,TCGA.IA.A83V,TCGA.IA.A83W,TCGA.IZ.8195,TCGA.IZ.8196,TCGA.IZ.A6M8,TCGA.IZ.A6M9,TCGA.J7.6720,TCGA.KV.A6GD,TCGA.KV.A6GE,TCGA.KV.A74V,TCGA.MH.A55W,TCGA.MH.A55Z,TCGA.MH.A560,TCGA.MH.A561,TCGA.MH.A562,TCGA.MH.A854,TCGA.MH.A855,TCGA.MH.A856,TCGA.MH.A857,TCGA.O9.A75Z,TCGA.P4.A5E7,TCGA.P4.A5EB,TCGA.P4.A5ED,TCGA.PJ.A5Z8,TCGA.PJ.A5Z9,TCGA.SX.A71R,TCGA.SX.A71S,TCGA.SX.A71U,TCGA.SX.A71V,TCGA.SX.A71W,TCGA.SX.A7SL,TCGA.SX.A7SN,TCGA.SX.A7SO,TCGA.SX.A7SP,TCGA.V9.A7HT,TCGA.Y8.A898
A1CF,0,0.8,0,1.511,0,0.829,7.013,6.458,2.985,0,0.96,6.746,3.72,7.543,3.22,4.772,5.396,6.206,7.391,3.017,3.494,3.755,8.09,4.273,6.367,0.563,5.171,2.305,2.202,2.609,4.604,4.631,1.268,0.526,5.961,0.701,3.438,6.154,2.727,5.239,5.207,5.921,1.75,0.408,3.305,3.94,0,5.33,0,8.307,0,4.213,0,4.904,7.787,0,5.269,1.157,7.642,3.869,0.743,6.05,3.834,0.482,5.842,4.434,0.394,5.105,3.923,1.142,3.584,4.021,8.587,4.602,4.169,1.449,0.354,2.182,3.002,7.673,1.99,3.414,4.83,5.218,3.065,0.907,5.654,1.573,4.715,3.644,2.296,4.374,2.527,5.242,5.004,5.16,1.948,4.052,0,1.49,0,0,5.195,4.647,7.175,6.681,5.669,5.763,0,1.417,3.773,2.97,4.078,0,0.899,1.605,0.853,5.487,0,0,5.992,3.69,2.736,5.801,4.29,1.023,0,3.304,5.53,3.648,5.005,3.333
ABCC2,2.185,4.848,3.279,3.281,2.349,4.237,5.438,8.327,10.857,2.185,2.518,5.157,6.366,11.249,4.071,9.219,3.313,5.77,8.437,11.901,3.777,5.355,5.383,5.831,9.962,2.468,5.755,4.661,4.075,0,10.065,7.964,2.386,2.651,6.778,5.068,3.927,6.56,4.844,3.869,4.559,5.243,9.179,3.712,11.448,8.599,1.539,9.729,2.873,10.558,2.77,8.61,2.846,9.48,11.82,1.441,7.124,5.965,11.068,6.109,4.538,5.493,3.494,2.314,5.148,5.4,3.145,4.644,5.296,3.981,7.153,2.997,8.742,6.27,5.399,3.628,3.387,1.469,1.634,10.718,1.314,4.621,7.788,4.576,4.505,2.539,5.543,11.23,6.223,6.546,1.563,7.311,3.776,6.549,4.712,7.219,3.717,3.88,5.487,2.782,2.92,1.988,3.733,5.618,6.075,8.966,3.66,1.396,4.288,1.81,3.493,3.226,7.819,2.981,3.614,3.896,1.773,11.51,2.693,4.751,4.154,6.089,4.34,7.185,6.162,2.776,2.61,1.822,9.715,8.212,7.807,4.545
ABP1,4.826,12.534,13.245,6.78,15.337,14.873,9.294,13.405,10.743,4.769,13.529,7.686,12.602,12.197,6.005,13.991,11.643,11.912,14.161,11.797,12.043,13.212,13.153,11.43,14.443,6.499,14.599,10.981,1.287,7.442,9.2,9.515,9.306,7.226,10.6,2.729,8.418,13.439,12.21,12.04,13.577,12.838,14.079,6.819,2.791,12.69,10.96,12.714,16.072,14.442,10.914,6.801,11.681,9.285,2.309,7.804,13.253,12.737,5.63,12.917,11.358,14.313,10.986,9.325,12.043,12.345,10.7,12.806,13.143,10.678,14.011,10.93,13.472,13.111,12.83,11.471,2.291,11.9,5.086,13.06,12.721,11.722,11.992,13.396,12.838,10.826,11.232,9.789,11.814,13.378,2.727,12.572,11.145,13.123,12.285,12.99,11.627,9.17,2.522,10.761,11.218,5.891,8.253,11.701,13.786,14.404,13.104,12.424,10.491,10.879,12.004,13.736,4.242,11.435,13.037,8.876,12.564,11.841,4.852,9.52,13.244,11.726,9.577,10.778,12.162,9.641,1.543,10.409,3.154,7.091,12.591,10.484
ACE2,3.662,13.397,9.812,7.057,4.076,10.617,12.233,11.583,12.044,10.078,4.415,12.646,11.515,12.532,10.645,11.57,12.331,11.805,12.94,11.454,11.129,12.026,11.063,11.8,11.579,11.001,13.573,10.271,11.761,10.932,13.175,10.713,11.289,14.55,11.457,2.249,10.861,13.159,12.149,11.849,12.505,12.652,12.126,9.986,14.258,11.524,3.904,9.463,6.896,12.882,10.585,10.171,3.565,13.662,12.628,2.323,10.917,10.949,12.243,12.113,10.605,11.499,10.889,11.317,12.315,11.566,5.249,11.916,11.624,9.174,12.062,11.48,12.956,11.707,11.045,6.471,9.653,9.108,11.582,13.334,8.198,12.425,12.478,12.076,10.113,8.698,13.773,11.67,12.215,12.73,10.039,12.077,11.927,11.058,11.679,12.375,10.041,10.698,11.328,10.554,8.473,9.138,12.994,11.692,11.692,13.153,12.439,11.167,11.499,11.246,11.165,10.877,12.742,10.471,2.985,7.985,8.327,13.652,3.51,10.701,12.696,9.87,11.979,11.97,13.38,10.425,10.584,9.43,13.674,11.888,11.673,12.087
ACSM2A,2.185,13.136,14.134,10.373,3.675,4.405,12.829,12.794,10.408,9.429,5.766,12.653,13.15,13.512,11.602,13.9,12.16,13.027,13.999,11.603,13.121,12.195,13.238,14.444,12.607,11.109,12.581,12.31,13.005,11.855,13.554,12.63,10.955,11.23,11.181,1.171,12.062,13.503,11.304,11.571,10.69,12.842,11.975,14.047,11.262,13.764,2.604,14.165,9.349,12.84,7.584,11.708,7.693,14.708,13.505,3.497,12.592,13.658,13.461,10.912,10.578,13.492,11.899,11.697,12.576,12.466,12.139,13.578,11.474,12.354,13.256,9.95,13.228,11.566,12.357,10.167,12.091,10.748,10.962,12.871,9.091,13.122,12.69,14.431,11.083,11.896,13.113,13.153,12.557,11.843,11.399,11.931,11.763,13.488,13.525,13.425,12.67,12.881,12.672,12.813,12.94,12.612,12.236,12.115,12.991,14.146,12.38,13.499,14.117,12.348,11.552,9.79,12.84,12.745,2.727,11.342,8.354,13.594,2.098,11.16,13.512,13.769,12.326,12.889,13.195,13.268,10.648,11.642,15.038,11.829,12.805,12.331
ACSM2B,1.01,10.439,11.871,8.919,3.889,4.713,10.556,11.439,8.212,8.365,5.397,10.552,10.736,11.258,9.73,12.774,9.101,9.97,12.227,10.506,9.91,9.633,10.677,10.816,11.276,9.397,10.708,8.587,10.553,9.775,11.685,13.171,9.14,9.225,10.124,2.586,9.211,10.356,9.537,9.54,9.774,10.374,9.894,10.252,11.141,11.421,0,14.197,8.766,12.078,6.609,9.062,7.789,14.379,11.373,2.148,11.77,9.784,12.724,9.502,8.38,10.256,10.047,9.133,10.894,9.702,9.821,10.781,9.638,9.654,11.525,7.625,9.765,9.81,10.921,8.996,9.026,9.14,9.828,9.845,9.382,9.746,9.697,11.248,8.984,9.534,10.856,11.36,9.449,8.477,9.569,9.446,9.366,9.838,9.724,10.784,11.183,10.52,10.912,10.816,11.49,9.447,10.775,9.174,10.075,11.55,9.712,10.764,11.509,9.974,9.334,9.956,10.439,10.46,1.2,9.055,8.056,11.646,1.672,8.506,9.841,10.52,9.303,10.683,9.565,9.571,8.944,9.711,14.994,9.531,10.141,10.245
ADAM6,15.763,7.438,8.395,13.139,12.967,11.155,10.912,11.324,9.972,8.986,8.271,6.969,9.116,12.937,6.868,11.232,11.624,9.039,7.469,4.877,10.561,10.371,7.821,5.846,10.056,14.063,9.868,11.822,11.497,15.005,6.941,14.71,10.419,7.967,9.75,11.617,15.406,8.835,12.505,8.883,9.054,8.215,12.04,11.266,6.908,14.188,11.13,12.938,16.384,10.708,13.939,11.014,19.872,10.978,6.818,8.786,12.911,9.767,11.97,12.283,6.509,9.622,9.896,8.983,11.489,12.645,5.807,9.076,11.435,5.448,14.63,12.851,7.226,16.392,18.759,17.959,3.747,16.005,9.232,12.711,10.243,7.784,14.645,13.779,15.863,15.009,6.681,16.592,10.385,16.798,7.558,12.805,6.816,8.614,10.025,9.896,15.386,16.668,8.481,4.945,10.695,9.809,13.109,15.583,10.043,10.615,10.678,10.614,7.394,16.79,11.621,12.75,14.343,16.256,11.188,7.332,11.723,6.855,14.305,11.097,7.879,9.834,8.48,10.396,8.241,10.349,4.154,8.788,6.856,10.913,11.999,9.176
ADH1B,10.194,2.63,6.194,9.062,5.425,8.905,4.434,4.091,6.038,6.111,6.948,3.545,4.886,8.091,2.246,5.083,4.916,2.811,4.804,4.691,4.057,6.961,1.511,3.47,4.073,7.903,6.832,9.636,3.804,5.628,6.585,7.885,8.045,0,8.258,8.575,4.444,4.007,6.83,6.014,1.184,1.94,4.133,5.412,7.377,8.155,10.12,8.556,4.828,6.437,6.023,6.604,10.413,5.258,1.754,4.915,6.129,6.621,9.025,8.748,4.262,6.925,8.024,9.376,5.896,6.332,2.983,5.105,5.83,4.008,8.356,8.168,6.197,10.403,6.336,8.655,1.417,11.701,0,4.81,5.498,4.524,4.341,8.308,8.069,4.459,1.166,9.848,4.799,7.46,1.152,7.075,0,5.477,6.67,1.268,10.694,6.839,5.019,7.339,6.644,4.27,8.585,9.706,4.005,3.76,0.873,2.687,7.471,7.164,3.773,6.596,2.09,5.925,8.069,7.451,6.372,4.875,0,7.9,6.064,2.43,6.199,4.604,5.236,6.887,2.61,3.84,6.249,6.452,2.514,7.85
ADH6,1.821,2.445,4.508,4.503,1.017,6.533,7.182,6.66,3.685,4.877,8.746,7.834,5.702,8.716,7.993,4.936,7.211,7.347,7.876,8.055,5.775,5.899,5.756,8.089,6.683,3.553,6.215,5.135,8.256,7.341,7.491,8.347,5.031,1.864,7.126,3.688,3.874,7.196,6.732,5.574,5.615,5.479,4.316,9.066,11.122,8.997,6.654,1.514,4.201,9.637,2.997,5.283,1.891,9.354,8.531,2.748,5.103,2.838,9.35,6.703,6.037,5.48,5.587,4.207,6.758,6.038,0.394,5.25,4.188,2.208,7.002,1.947,8.017,5.806,7.105,0.319,4.19,1.797,7.743,8.587,2.543,6.648,8.027,7.788,3.976,0,4.357,6.358,5.745,4.173,2.878,6.454,5.531,6.404,4.616,8.598,6.92,3.187,8.447,1.49,2.598,1.988,6.689,7.117,5.353,10.088,4.33,6.259,4.465,2.775,6.061,4.147,6.571,2.272,3.135,6.524,1.144,10.633,4.37,5.022,7.455,5.89,3.974,7.329,7.233,2.453,4.238,5.4,8.508,5.82,7.443,5.932
AEBP1,12.002,5.755,7.301,13.379,13.83,12.601,8.848,11.874,12.019,14.647,9.311,9.927,9.487,11.312,6.277,8.28,10.217,13.323,8.93,6.677,15.208,9.904,7.545,13.626,9.09,9.952,10.439,12.853,9.44,14.002,8.177,11.983,9.647,11.459,11.095,11.226,13.003,12.342,14.524,13.283,11.237,12.605,12.101,11.401,10.126,11.25,12.093,16.221,11.174,12.804,10.575,10.65,14.193,11.25,6.41,11.386,15.122,10.831,12.45,10.937,13.649,13.371,12.802,13.321,10.703,13.226,12.555,14.501,12.306,10.97,7.624,14.268,13.934,13.439,11.514,14.374,13.299,15.021,14.251,9.416,9.198,12.778,10.668,12.595,13.819,13.74,9.067,13.016,7.413,10.514,5.427,10.152,12.669,12.943,8.761,7.621,14.594,13.877,9.333,14.671,8.953,12.761,13.609,13.783,11.101,9.143,11.667,12.286,9.864,11.81,14.668,10.539,9.846,11.132,8.841,14.258,10.254,8.229,9.03,11.619,10.16,12.332,13.452,13.905,8.459,14.005,5.122,14.318,10.876,9.443,10.235,10.655
