<<<<<<< HEAD
,HNRNPK,ABCA1,ABCB1,RBBP5
Sample1,0.461772012,0.842210929,0.314251397,0.548381084
Sample2,0.805751823,0.10918022,0.023094625,0.903681058
Sample3,0.89497405,0.475053874,0.710825895,0.940597883
Sample4,0.752858587,0.106631299,0.853351766,0.08118202
Sample5,0.869857381,0.048527834,0.518966438,0.684172679
Sample6,0.344166548,0.037014528,0.139773544,0.23385501
Sample7,0.321699393,0.194348503,0.321024337,0.151008494
Sample8,0.499406502,0.826911189,0.327226732,0.677526021
Sample9,0.742679966,0.023535795,0.624802971,0.081044866
Sample10,0.459025912,0.663380804,0.757011716,0.023623951
=======
,HNRNPK,ABCA1,ABCB1,RBBP5
Sample1,0.461772012,0.842210929,0.314251397,0.548381084
Sample2,0.805751823,0.10918022,0.023094625,0.903681058
Sample3,0.89497405,0.475053874,0.710825895,0.940597883
Sample4,0.752858587,0.106631299,0.853351766,0.08118202
Sample5,0.869857381,0.048527834,0.518966438,0.684172679
Sample6,0.344166548,0.037014528,0.139773544,0.23385501
Sample7,0.321699393,0.194348503,0.321024337,0.151008494
Sample8,0.499406502,0.826911189,0.327226732,0.677526021
Sample9,0.742679966,0.023535795,0.624802971,0.081044866
Sample10,0.459025912,0.663380804,0.757011716,0.023623951
>>>>>>> 62ec91a8086b7b7b8bff08ac6025a36d3fb03e96
