,name,ENSG
1,LINC01725,ENSG00000233008
2,lnc-ZFHX3-27,ENSG00000261404
3,CACNA1G-AS1,ENSG00000250107
4,TNFRSF14-AS1,ENSG00000238164
5,SNHG12,ENSG00000197989
6,NNT-AS1,ENSG00000248092
7,PITPNM2-AS1,ENSG00000251497
8,DUBR,ENSG00000243701
9,SNHG1,ENSG00000255717
10,LINC00922,ENSG00000261742
11,lnc-KCNC2-2,ENSG00000251138
12,LINC02372,ENSG00000249873
13,LINC02447,ENSG00000245468
14,LIFR-AS1,ENSG00000244968
15,lnc-PABPC4L-5,ENSG00000250241
16,PRR7-AS1,ENSG00000246334
17,LINC00958,ENSG00000251381
18,FRG1-DT,ENSG00000245685
19,TRHDE-AS1,ENSG00000236333
20,LINC02327,ENSG00000258038
21,lnc-ENPP1-1,ENSG00000236673
22,LINC02413,ENSG00000257345
23,lnc-CRYBA4-52,ENSG00000225783
24,SNHG6,ENSG00000245910
25,PCED1B-AS1,ENSG00000247774
26,lnc-IGHMBP2-1,ENSG00000250508
27,SOCS2-AS1,ENSG00000246985
28,LINC00200,ENSG00000229205
29,lnc-FGF3-2,ENSG00000248844
30,MIR205HG,ENSG00000230937
31,lnc-CHID1-1,ENSG00000250397
32,MALINC1,ENSG00000245146
33,IFNG-AS1,ENSG00000255733
34,HDAC2-AS2,ENSG00000228624
35,STXBP5-AS1,ENSG00000233452
36,lnc-ZNF681-2,ENSG00000269289
37,LINC01124,ENSG00000213981
38,lnc-CPM-2,ENSG00000247363
39,lnc-HMGB2-3,ENSG00000245213
40,lnc-CIT-1,ENSG00000248636
41,DCTN1-AS1,ENSG00000237737
42,ZFHX4-AS1,ENSG00000253661
43,MEF2C-AS1,ENSG00000248309
44,RAB30-AS1,ENSG00000246067
45,LINC00158,ENSG00000185433
46,lnc-WIF1-6,ENSG00000250748
47,lnc-DHX37-9,ENSG00000255944
48,lnc-SPRYD3-1,ENSG00000257337
49,lnc-JAM3-3,ENSG00000204241
50,lnc-HTR4-1,ENSG00000247199
51,lnc-NXPE2-52,ENSG00000256315
52,MIR210HG,ENSG00000247095
53,lnc-NXPH1-2,ENSG00000272328
54,LINC01366,ENSG00000235172
55,SNHG11,ENSG00000174365
56,lnc-ANP32A-3,ENSG00000259426
57,WEE2-AS1,ENSG00000228775
58,ALKBH3-AS1,ENSG00000244926
59,GMDS-DT,ENSG00000250903
60,SOX2-OT,ENSG00000242808
61,PTPRG-AS1,ENSG00000241472
62,LINC00668,ENSG00000265933
63,TRAF3IP2-AS1,ENSG00000231889
64,LINC01266,ENSG00000224957
65,TLX1NB,ENSG00000236311
66,lnc-PRKD1-3,ENSG00000257522
67,lnc-VSX1-1,ENSG00000230725
68,lnc-SOX5-1,ENSG00000115934
69,MIR924HG,ENSG00000267374
70,lnc-DCTD-65,ENSG00000177822
71,lnc-LARP1B-1,ENSG00000251432
72,HAGLR,ENSG00000224189
73,lnc-LRRC72-3,ENSG00000237070
74,ATP2C2-AS1,ENSG00000261286
75,STX18-AS1,ENSG00000247708
76,LINC01102,ENSG00000235597
77,lnc-SDSL-13,ENSG00000258254
78,LINC01693,ENSG00000227764
79,PPFIA2-AS1,ENSG00000257467
80,lnc-SDCBP-2,ENSG00000167912
81,EPHA5-AS1,ENSG00000250846
82,ZBED5-AS1,ENSG00000247271
83,lnc-ROBO3-2,ENSG00000245498
84,RASSF8-AS1,ENSG00000246695
85,LINC01776,ENSG00000226053
86,LINC00939,ENSG00000249267
87,SNCA-AS1,ENSG00000247775
88,LINC-PINT,ENSG00000226380
89,lnc-BRSK1-1,ENSG00000267649
90,lnc-GPR183-47,ENSG00000280734
91,lnc-SLC30A7-2,ENSG00000233184
92,lnc-FGFR2-12,ENSG00000227165
93,lnc-KLF4-14,ENSG00000230782
94,lnc-TRMT61B-5,ENSG00000229951
95,LINC00599,ENSG00000253230
96,ZMIZ1-AS1,ENSG00000224596
97,LINC01992,ENSG00000260019
98,lnc-CRYBA4-52,ENSG00000244625
99,PAXBP1-AS1,ENSG00000238197
100,lnc-ZNF682-1,ENSG00000267383
101,LINC01788,ENSG00000229051
102,lnc-NBN-1,ENSG00000251136
103,lnc-NECAB1-1,ENSG00000246792
104,LINC02052,ENSG00000224406
105,lnc-MKLN1-2,ENSG00000224865
106,GAS5,ENSG00000234741
107,LINC01405,ENSG00000185847
108,TRAM2-AS1,ENSG00000225791
109,CPEB2-DT,ENSG00000247624
110,FMR1-AS1,ENSG00000268066
111,LINC00609,ENSG00000257585
112,LINC02288,ENSG00000246548
113,LINC00612,ENSG00000214851
114,SLC2A1-AS1,ENSG00000227533
115,KCTD21-AS1,ENSG00000246174
116,LINC02298,ENSG00000257556
117,LINC02369,ENSG00000256551
118,LINC01359,ENSG00000226891
119,LINC00574,ENSG00000231690
120,lnc-EMP1-1,ENSG00000256306
121,lnc-CYB5R2-3,ENSG00000251364
122,lnc-CIB3-1,ENSG00000269243
123,lnc-SOD3-6,ENSG00000248837
124,LINC02468,ENSG00000256499
125,lnc-TMEM132B-4,ENSG00000284848
126,LINC01234,ENSG00000249550
127,lnc-GPR39-4,ENSG00000226953
128,SDCBP2-AS1,ENSG00000234684
129,LINC02397,ENSG00000266923
130,DACT3-AS1,ENSG00000245598
131,XIST,ENSG00000229807
132,lnc-TBC1D22A-4,ENSG00000224271
133,lnc-SLC39A10-3,ENSG00000272211
134,lnc-DHX37-9,ENSG00000256732
135,MCM8-AS1,ENSG00000278719
136,LINC00461,ENSG00000245526
137,OSTM1-AS1,ENSG00000225174
138,lnc-FOXG1-22,ENSG00000258081
139,LINC00476,ENSG00000175611
140,lnc-COL2A1-2,ENSG00000258203
141,RPL34-AS1,ENSG00000234492
142,CASC2,ENSG00000177640
143,NOP14-AS1,ENSG00000249673
144,FAM222A-AS1,ENSG00000255650
145,RAPGEF4-AS1,ENSG00000228016
146,LINC00698,ENSG00000244342
147,LINC00900,ENSG00000246100
148,MIR4300HG,ENSG00000245832
149,LINC02446,ENSG00000256039
150,LINC00261,ENSG00000259974
151,LINC02532,ENSG00000235142
152,LRRC75A-AS1,ENSG00000175061
153,LINC02475,ENSG00000251350
154,LINC02327,ENSG00000258028
155,LINC02125,ENSG00000250514
156,lnc-ZNF574-1,ENSG00000259436
157,NTRK3-AS1,ENSG00000260305
158,lnc-GRM7-2,ENSG00000189229
159,CASC18,ENSG00000257859
160,HOXA-AS2,ENSG00000253552
161,lnc-EXOSC6-2,ENSG00000247228
162,PSMG3-AS1,ENSG00000230487
163,lnc-ALX4-5,ENSG00000246250
164,LINC01351,ENSG00000241505
165,lnc-ZNF644-1,ENSG00000233593
166,LINC00847,ENSG00000245060
167,LINC02268,ENSG00000248174
168,lnc-ACTR2-3,ENSG00000204929
169,MIR646HG,ENSG00000228340
170,lnc-C8orf74-1,ENSG00000248896
171,LINC02579,ENSG00000233694
172,lnc-NAT2-1,ENSG00000187229
173,FAM111A-DT,ENSG00000245571
174,LINC01415,ENSG00000267325
175,LINC01159,ENSG00000229743
176,lnc-FAM78A-1,ENSG00000246851
177,MYCNOS,ENSG00000233718
178,lnc-FAM20C-3,ENSG00000240859
179,PCF11-AS1,ENSG00000247137
180,LINC01305,ENSG00000231453
181,LINC00857,ENSG00000237523
182,LINC00877,ENSG00000241163
183,TP53TG1,ENSG00000182165
184,lnc-KLF17-1,ENSG00000230615
185,lnc-ATP6AP2-4,ENSG00000223486
186,FZD10-DT,ENSG00000250208
187,SNHG5,ENSG00000203875
188,lnc-COA6-6,ENSG00000228044
189,lnc-NKX2-6-1,ENSG00000254002
190,lnc-GADD45A-9,ENSG00000232284
191,lnc-TFAP2A-4,ENSG00000237685
192,LINC00944,ENSG00000256128
193,lnc-SCRN3-3,ENSG00000236449
194,LINC00964,ENSG00000249816
195,SAP30L-AS1,ENSG00000245275
196,lnc-SULF1-3,ENSG00000246528
197,lnc-SCAND1-3,ENSG00000232406
198,lnc-HPGDS-1,ENSG00000246541
199,LINC01194,ENSG00000248131
200,lnc-USP34-1,ENSG00000212978
201,lnc-IL6-3,ENSG00000232759
202,SCAMP1-AS1,ENSG00000245556
203,BAALC-AS1,ENSG00000247081
204,LINC00954,ENSG00000228784
205,LINC01498,ENSG00000247213
206,lnc-HPCAL1-1,ENSG00000257135
207,LINC00472,ENSG00000233237
208,MIR503HG,ENSG00000223749
209,LINC00615,ENSG00000196243
210,NEAT1,ENSG00000245532
211,LINC01060,ENSG00000249378
212,lnc-DSCC1-1,ENSG00000245330
213,lnc-F2RL2-2,ENSG00000225407
214,lnc-ZBED5-1,ENSG00000250041
215,lnc-CPVL-4,ENSG00000223813
216,SOX5-AS1,ENSG00000256120
217,CARMN,ENSG00000249669
218,LINC01970,ENSG00000265692
219,LINC00663,ENSG00000266904
220,lnc-KLRC4-KLRK1-2,ENSG00000256288
221,LINC00682,ENSG00000245870
222,LINC02347,ENSG00000214043
223,lnc-APAF1-1,ENSG00000257458
224,RMST,ENSG00000255794
225,LINC01018,ENSG00000250056
226,RAD51-AS1,ENSG00000245849
227,LINC02470,ENSG00000225231
228,lnc-DDX51-6,ENSG00000255933
229,APCDD1L-DT,ENSG00000231290
230,LINC02202,ENSG00000245812
231,SNHG17,ENSG00000196756
232,KCNMB2-AS1,ENSG00000237978
233,SPATA3-AS1,ENSG00000238062
234,FGF13-AS1,ENSG00000226031
235,SEC24B-AS1,ENSG00000247950
236,lnc-SLC26A8-1,ENSG00000246982
237,C9orf135-DT,ENSG00000225626
238,lnc-SPO11-1,ENSG00000226308
239,lnc-SHANK2-1,ENSG00000246889
240,LINC00518,ENSG00000183674
241,GATA3-AS1,ENSG00000197308
242,lnc-RIMBP2-6,ENSG00000256137
243,lnc-NRGN-1,ENSG00000250073
244,LINC02067,ENSG00000240567
245,FTX,ENSG00000230590
246,lnc-ANXA2R-1,ENSG00000177738
247,lnc-BEST3-1,ENSG00000247131
248,PART1,ENSG00000152931
249,lnc-BLID-3,ENSG00000246790
250,lnc-FAM84B-15,ENSG00000246228
251,LINC01684,ENSG00000237484
252,LINC02402,ENSG00000257510
253,UBA6-AS1,ENSG00000248049
254,lnc-PTN-2,ENSG00000234352
255,LINC01801,ENSG00000267767
256,lnc-MPEG1-1,ENSG00000214797
257,LINC00926,ENSG00000247982
258,PTPRD-AS1,ENSG00000225706
259,ZRANB2-AS2,ENSG00000229956
260,lnc-BTG4-2,ENSG00000255428
261,lnc-ZFC3H1-8,ENSG00000258294
262,ZSCAN16-AS1,ENSG00000269293
263,GATA2-AS1,ENSG00000244300
264,MIR548XHG,ENSG00000224141
265,LINC00479,ENSG00000236384
266,PURPL,ENSG00000250337
267,LINC02453,ENSG00000245017
268,LINC00630,ENSG00000223546
269,lnc-TNFRSF13B-1,ENSG00000230709
270,lnc-RFLNA-3,ENSG00000214650
271,FOXP1-AS1,ENSG00000244203
272,MIR3150BHG,ENSG00000245080
273,NBAT1,ENSG00000260455
274,LINC01301,ENSG00000251396
275,SATB2-AS1,ENSG00000225953
276,LINC00943,ENSG00000189238
277,lnc-EFEMP1-3,ENSG00000233251
278,lnc-CALM2-2,ENSG00000234690
279,lnc-ERGIC2-5,ENSG00000256513
280,lnc-NUBPL-1,ENSG00000250365
281,LINC01312,ENSG00000223586
282,lnc-PABPC4L-9,ENSG00000251199
283,LINC01303,ENSG00000250548
284,lnc-PIK3C2G-1,ENSG00000256389
285,lnc-SENP6-3,ENSG00000225793
286,lnc-IKBIP-14,ENSG00000258312
287,EPB41L4A-AS1,ENSG00000224032
288,LINC00861,ENSG00000245164
289,lnc-DAD1-2,ENSG00000251002
290,lnc-SLC15A4-14,ENSG00000256001
291,lnc-PRSS23-1,ENSG00000246523
292,DDX11-AS1,ENSG00000245614
293,FLG-AS1,ENSG00000237975
294,HHIP-AS1,ENSG00000248890
295,LINC01184,ENSG00000245937
296,lnc-COX6A1-1,ENSG00000256695
297,HIPK1-AS1,ENSG00000235527
298,LINC02376,ENSG00000256292
299,lnc-SPRY1-11,ENSG00000249464
300,PAX8-AS1,ENSG00000189223
301,lnc-RPS24-3,ENSG00000230417
302,lnc-P4HA1-1,ENSG00000272630
303,lnc-SPAG9-1,ENSG00000247011
304,KCNQ1-AS1,ENSG00000229414
305,LINC02401,ENSG00000257762
306,SLC26A4-AS1,ENSG00000233705
307,LINC01136,ENSG00000233791
308,lnc-LXN-1,ENSG00000243150
309,LINC00858,ENSG00000229404
310,LINC00996,ENSG00000242258
311,LINC00908,ENSG00000263812
312,CBR3-AS1,ENSG00000236830
313,PCAT19,ENSG00000267107
314,lnc-TUB-1,ENSG00000246820
315,BDNF-AS,ENSG00000245573
316,lnc-TMEM132B-10,ENSG00000255998
317,lnc-PYGL-1,ENSG00000258711
318,lnc-C12orf74-5,ENSG00000258125
319,LINC01624,ENSG00000227508
320,lnc-FLII-1,ENSG00000266677
321,lnc-CES5A-3,ENSG00000246379
322,IL10RB-DT,ENSG00000223799
323,LINC01134,ENSG00000236423
324,SLC25A5-AS1,ENSG00000224281
325,ATP6V0E2-AS1,ENSG00000204934
326,lnc-DRD2-3,ENSG00000247416
327,RERG-AS1,ENSG00000255660
328,APTR,ENSG00000214293
329,LINC02029,ENSG00000241544
330,lnc-WNT8A-57,ENSG00000246323
331,LINC00963,ENSG00000204054
332,SNAP25-AS1,ENSG00000227906
333,LINC00265,ENSG00000188185
334,lnc-ALDH3B1-2,ENSG00000251637
335,LINC00885,ENSG00000224652
336,lnc-DUSP1-4,ENSG00000204758
337,lnc-LGALSL-2,ENSG00000225889
338,lnc-CPNE8-1,ENSG00000258119
339,lnc-CHST4-3,ENSG00000247324
340,POT1-AS1,ENSG00000224897
341,LINC01819,ENSG00000231826
342,LINC02356,ENSG00000257595
343,lnc-ENDOD1-1,ENSG00000245552
344,lnc-PLCB1-1,ENSG00000229766
345,lnc-CCDC63-1,ENSG00000257268
346,RNF144A-AS1,ENSG00000228203
347,TUB-AS1,ENSG00000248332
348,LINC02441,ENSG00000256643
349,lnc-FDX1-1,ENSG00000254416
350,COL18A1-AS1,ENSG00000183535
351,KRBOX1-AS1,ENSG00000206552
352,lnc-OGFOD1-2,ENSG00000260198
353,lnc-PDZD8-4,ENSG00000235198
354,LINC02388,ENSG00000257259
355,LINC01750,ENSG00000231437
356,MIR99AHG,ENSG00000215386
357,lnc-ZNF726-1,ENSG00000268362
358,lnc-NXPH2-3,ENSG00000228043
359,lnc-TMEM88B-3,ENSG00000224870
360,LINC01016,ENSG00000249346
361,lnc-DIO3-4,ENSG00000258497
362,lnc-CPN2-4,ENSG00000230102
363,LHX1-DT,ENSG00000277268
364,UBOX5-AS1,ENSG00000235958
365,EWSAT1,ENSG00000212766
366,lnc-FBXL7-2,ENSG00000250448
367,LINC02008,ENSG00000239440
368,lnc-CADM1-1,ENSG00000256281
369,FRY-AS1,ENSG00000237637
370,lnc-MAP1LC3B2-1,ENSG00000257519
371,lnc-SRPRA-9,ENSG00000254938
372,DANCR,ENSG00000226950
373,LINC01139,ENSG00000215808
374,LINC00974,ENSG00000226629
375,LINC02405,ENSG00000249345
376,LINC01094,ENSG00000251442
377,lnc-PPM1M-2,ENSG00000243224
378,lnc-SETD6-1,ENSG00000245768
379,LINC01838,ENSG00000269037
380,MIR31HG,ENSG00000171889
381,LINC00957,ENSG00000235314
382,LINC01270,ENSG00000203999
383,LINC01550,ENSG00000246223
384,lnc-MAP1LC3B2-28,ENSG00000258018
385,IL12A-AS1,ENSG00000244040
386,lnc-NAT1-3,ENSG00000245281
387,lnc-PJVK-2,ENSG00000223960
388,lnc-AKAP3-2,ENSG00000256988
389,ADAMTS9-AS2,ENSG00000241684
390,ELOVL2-AS1,ENSG00000230314
391,PDYN-AS1,ENSG00000233896
392,FENDRR,ENSG00000268388
393,lnc-CREG1-3,ENSG00000241666
394,LINC02424,ENSG00000258220
395,lnc-NXPH1-2,ENSG00000229970
