,HGNC,name
1,HGNC:37133,A1BG-AS1
2,HGNC:41022,A2ML1-AS1
3,HGNC:41523,A2ML1-AS2
4,HGNC:50301,AADACL2-AS1
5,HGNC:51526,AATBC
6,HGNC:39983,ABCA9-AS1
7,HGNC:40055,ABCC5-AS1
8,HGNC:55674,lnc-BHLHA9-1
9,HGNC:41426,ACAP2-IT1
10,HGNC:56255,lnc-BMX-1
11,HGNC:41112,ACOXL-AS1
12,HGNC:40227,lnc-FARSB-2
13,HGNC:40772,lnc-IL3-2
14,HGNC:45169,ACTA2-AS1
15,HGNC:20131,ACTN1-AS1
16,HGNC:44161,ACVR2B-AS1
17,HGNC:56152,lnc-NEFL-6
18,HGNC:56153,lnc-NEFL-3
19,HGNC:40625,ADAMTS9-AS1
20,HGNC:42435,ADAMTS9-AS2
21,HGNC:55548,lnc-MED10-6
22,HGNC:40797,ADAMTS19-AS1
23,HGNC:32041,ADAMTSL4-AS1
24,HGNC:40895,lnc-MCL1-7
25,HGNC:23299,ADARB2-AS1
26,HGNC:53332,lnc-CACNB3-1
27,HGNC:48682,ADD3-AS1
28,HGNC:55654,lnc-SHPRH-1
29,HGNC:49543,ADGRA1-AS1
30,HGNC:55774,lnc-LMBRD1-5
31,HGNC:53314,ADGRD1-AS1
32,HGNC:40864,lnc-MEP1A-2
33,HGNC:50604,ADGRL3-AS1
34,HGNC:40648,ADIPOQ-AS1
35,HGNC:45127,ADIRF-AS1
36,HGNC:55516,lnc-SBF2-1
37,HGNC:51227,ADNP-AS1
38,HGNC:37122,ADORA2A-AS1
39,HGNC:44144,ADPGK-AS1
40,HGNC:21236,AFDN-DT
41,HGNC:41334,AFF2-IT1
42,HGNC:55235,lnc-HSPA4-7
43,HGNC:52788,lnc-SERTAD2-1
44,HGNC:27730,lnc-NEIL3-6
45,HGNC:41427,AGAP1-IT1
46,HGNC:48617,AGBL1-AS1
47,HGNC:41123,lnc-ELAVL4-11
48,HGNC:41482,AGBL4-IT1
49,HGNC:41133,AGBL5-AS1
50,HGNC:41484,AGBL5-IT1
51,HGNC:55356,lnc-KIAA1147-3
52,HGNC:32526,LINC00271
53,HGNC:34515,AIRN
54,HGNC:55449,lnc-PSMB11-1
55,HGNC:55339,lnc-COIL-2
56,HGNC:55975,lnc-KLHL25-5
57,HGNC:41304,AKT3-IT1
58,HGNC:55416,lnc-CHSY1-5
59,HGNC:42446,ALDH1L1-AS2
60,HGNC:41409,ALG9-IT1
61,HGNC:41192,lnc-TMEM56-2
62,HGNC:48670,ALKBH3-AS1
63,HGNC:41305,ALMS1-IT1
64,HGNC:51342,lnc-SLC16A11-7
65,HGNC:41306,AMMECR1-IT1
66,HGNC:40076,lnc-ZGRF1-5
67,HGNC:54102,lnc-CDK1-1
68,HGNC:55234,lnc-OTULIN-8
69,HGNC:55564,lnc-HBEGF-2
70,HGNC:39891,ANKRD10-IT1
71,HGNC:55556,lnc-ALB-1
72,HGNC:41298,ANKRD33B-AS1
73,HGNC:48618,ANKRD34C-AS1
74,HGNC:55590,PCF11-AS1
75,HGNC:41090,lnc-COQ10B-2
76,HGNC:55840,lnc-COQ10B-1
77,HGNC:41477,ANKRD44-IT1
78,HGNC:40016,ANO1-AS1
79,HGNC:54190,lnc-MUC15-1
80,HGNC:27208,lnc-ZNF131-1
81,HGNC:48996,lnc-ANXA2R-1
82,HGNC:41307,AOAH-IT1
83,HGNC:55391,lnc-TIFA-1
84,HGNC:27152,APCDD1L-DT
85,HGNC:43836,APOBEC3B-AS1
86,HGNC:55075,lnc-GABPA-13
87,HGNC:56009,lnc-ANKRD36B-3
88,HGNC:55423,lnc-PPM1D-1
89,HGNC:24082,lnc-ITGA9-2
90,HGNC:44173,APTR
91,HGNC:26399,AQP4-AS1
92,HGNC:55474,lnc-RACGAP1-1
93,HGNC:51593,ARF4-AS1
94,HGNC:55237,lnc-CSPP1-1
95,HGNC:43691,lnc-DAOA-14
96,HGNC:20279,ARHGAP5-AS1
97,HGNC:56188,lnc-GOLGA8O-5
98,HGNC:55586,lnc-GOLGA8R-1
99,HGNC:40949,lnc-GTDC1-3
100,HGNC:42944,ARHGAP22-IT1
101,HGNC:40792,ARHGAP26-AS1
102,HGNC:41429,ARHGAP26-IT1
103,HGNC:55320,lnc-LAMA1-3
104,HGNC:54311,lnc-ABCD3-2
105,HGNC:41235,ARHGAP31-AS1
106,HGNC:54801,lnc-PGR-1
