"","V1","V2"
"1","HSALNG0000005","ENSG00000243485.5"
"2","HSALNG0000006","ENSG00000237613.2"
"3","HSALNG0142075","ENSG00000238009.6"
"4","HSALNG0142076","ENSG00000239906.1"
"5","HSALNG0000014","ENSG00000241860.7"
"6","HSALNG0000016","ENSG00000241599.1"
"7","HSALNG0141642","ENSG00000286448.1"
"8","HSALNG0000021","ENSG00000236601.2"
"9","HSALNG0000022","ENSG00000225880.5"
"10","HSALNG0000023","ENSG00000235146.2"
"11","HSALNG0000036","ENSG00000229905.1"
"12","HSALNG0000038","ENSG00000237491.10"
"13","HSALNG0000041","ENSG00000228794.10"
"14","HSALNG0000045","ENSG00000288531.1"
"15","HSALNG0000046","ENSG00000230368.2"
"16","HSALNG0000051","ENSG00000272438.1"
"17","HSALNG0000054","ENSG00000223764.2"
"18","HSALNG0000070","ENSG00000224969.1"
"19","HSALNG0000076","ENSG00000242590.1"
"20","HSALNG0000079","ENSG00000273443.1"
"21","HSALNG0000085","ENSG00000285812.1"
"22","HSALNG0141646","ENSG00000223823.1"
"23","HSALNG0142080","ENSG00000205231.1"
"24","HSALNG0000121","ENSG00000260179.1"
"25","HSALNG0000125","ENSG00000230415.1"
"26","HSALNG0000133","ENSG00000240731.1"
"27","HSALNG0000152","ENSG00000224870.7"
"28","HSALNG0000155","ENSG00000272455.1"
"29","HSALNG0000160","ENSG00000225905.1"
"30","HSALNG0000162","ENSG00000225285.1"
"31","HSALNG0000176","ENSG00000215014.5"
"32","HSALNG0000179","ENSG00000286989.1"
"33","HSALNG0000180","ENSG00000272106.1"
"34","HSALNG0000189","ENSG00000272004.1"
"35","HSALNG0000200","ENSG00000231050.1"
"36","HSALNG0000215","ENSG00000233542.2"
"37","HSALNG0000220","ENSG00000226969.1"
"38","HSALNG0142083","ENSG00000182873.5"
"39","HSALNG0000233","ENSG00000234396.3"
"40","HSALNG0000243","ENSG00000272161.1"
"41","HSALNG0000249","ENSG00000272420.1"
"42","HSALNG0000265","ENSG00000224387.1"
"43","HSALNG0000266","ENSG00000229393.1"
"44","HSALNG0000273","ENSG00000272449.2"
"45","HSALNG0000275","ENSG00000238164.6"
"46","HSALNG0000279","ENSG00000228037.1"
"47","HSALNG0000288","ENSG00000237058.1"
"48","HSALNG0141652","ENSG00000285945.1"
"49","HSALNG0000294","ENSG00000233234.1"
"50","HSALNG0000295","ENSG00000287396.1"
"51","HSALNG0000302","ENSG00000284745.1"
"52","HSALNG0000303","ENSG00000177133.11"
"53","HSALNG0000307","ENSG00000226286.1"
"54","HSALNG0000316","ENSG00000272235.1"
"55","HSALNG0000318","ENSG00000286518.1"
"56","HSALNG0000337","ENSG00000238260.1"
"57","HSALNG0000339","ENSG00000227589.1"
"58","HSALNG0000341","ENSG00000235131.1"
"59","HSALNG0000349","ENSG00000272153.1"
"60","HSALNG0000361","ENSG00000236423.6"
"61","HSALNG0000365","ENSG00000226374.3"
"62","HSALNG0000366","ENSG00000233304.7"
"63","HSALNG0000367","ENSG00000284668.2"
"64","HSALNG0000379","ENSG00000235054.4"
"65","HSALNG0000388","ENSG00000284694.1"
"66","HSALNG0000391","ENSG00000227169.2"
"67","HSALNG0000393","ENSG00000232596.3"
"68","HSALNG0000406","ENSG00000287586.1"
"69","HSALNG0000420","ENSG00000284739.1"
"70","HSALNG0000421","ENSG00000284674.1"
"71","HSALNG0000428","ENSG00000231510.1"
"72","HSALNG0000439","ENSG00000284616.1"
"73","HSALNG0000450","ENSG00000284692.2"
"74","HSALNG0000458","ENSG00000260972.1"
"75","HSALNG0000460","ENSG00000236948.2"
"76","HSALNG0000507","ENSG00000226944.1"
"77","HSALNG0000511","ENSG00000225077.3"
"78","HSALNG0000514","ENSG00000271746.1"
"79","HSALNG0000519","ENSG00000231868.1"
"80","HSALNG0000544","ENSG00000228750.7"
"81","HSALNG0000546","ENSG00000284744.1"
"82","HSALNG0000547","ENSG00000237436.1"
"83","HSALNG0000554","ENSG00000237365.1"
"84","HSALNG0000559","ENSG00000237402.1"
"85","HSALNG0000560","ENSG00000237728.2"
"86","HSALNG0000562","ENSG00000225126.1"
"87","HSALNG0000570","ENSG00000270171.1"
"88","HSALNG0000572","ENSG00000270035.1"
"89","HSALNG0000579","ENSG00000269925.1"
"90","HSALNG0000582","ENSG00000236266.1"
"91","HSALNG0000594","ENSG00000284747.1"
"92","HSALNG0142103","ENSG00000284716.1"
"93","HSALNG0000603","ENSG00000227634.3"
"94","HSALNG0000619","ENSG00000233645.1"
"95","HSALNG0000636","ENSG00000232912.6"
"96","HSALNG0000648","ENSG00000228423.2"
"97","HSALNG0000660","ENSG00000230679.1"
"98","HSALNG0000682","ENSG00000228526.7"
"99","HSALNG0000685","ENSG00000234546.4"
"100","HSALNG0000694","ENSG00000284652.1"
"101","HSALNG0000702","ENSG00000235263.1"
"102","HSALNG0142109","ENSG00000179840.5"
"103","HSALNG0000719","ENSG00000231789.2"
"104","HSALNG0000728","ENSG00000223989.1"
"105","HSALNG0000733","ENSG00000285701.1"
"106","HSALNG0000739","ENSG00000228150.1"
"107","HSALNG0000743","ENSG00000241326.1"
"108","HSALNG0000761","ENSG00000284735.1"
