,HSAL,name
1,HSALNG0000005,MIR1302-2HG
2,HSALNG0000006,FAM138A
3,HSALNG0142075,LINC00115
4,HSALNG0142076,lnc-OR4F29-7
5,HSALNG0000014,lnc-OR4F29-3
6,HSALNG0000016,lnc-OR4F5-2
7,HSALNG0000021,lnc-OR4F5-7
8,HSALNG0000022,LINC00115
9,HSALNG0000023,lnc-SAMD11-16
10,HSALNG0000036,lnc-SAMD11-2
11,HSALNG0000038,lnc-SAMD11-7
12,HSALNG0000041,LINC01128
13,HSALNG0000046,FAM41C
14,HSALNG0000051,lnc-SAMD11-5
15,HSALNG0000054,LINC02593
16,HSALNG0000070,lnc-HES4-1
17,HSALNG0000076,lnc-ISG15-5
18,HSALNG0000079,lnc-RNF223-2
19,HSALNG0141646,LINC01342
20,HSALNG0142080,TTLL10-AS1
21,HSALNG0000121,lnc-UBE2J2-1
22,HSALNG0000125,LINC01786
23,HSALNG0000133,lnc-ACAP3-1
24,HSALNG0000152,lnc-TMEM88B-3
25,HSALNG0000155,lnc-TMEM88B-6
26,HSALNG0000162,LINC01770
27,HSALNG0000176,lnc-MIB2-4
28,HSALNG0000180,lnc-FNDC10-1
29,HSALNG0000189,lnc-MMP23B-3
30,HSALNG0000200,lnc-CALML6-1
31,HSALNG0000215,lnc-CFAP74-1
32,HSALNG0000220,lnc-CFAP74-2
33,HSALNG0142083,PRKCZ-AS1
34,HSALNG0000233,lnc-SKI-3
35,HSALNG0000243,lnc-PEX10-7
36,HSALNG0000249,lnc-PEX10-5
37,HSALNG0000265,lnc-PANK4-2
38,HSALNG0000266,lnc-PANK4-1
39,HSALNG0000273,lnc-TNFRSF14-66
40,HSALNG0000275,TNFRSF14-AS1
41,HSALNG0000279,lnc-TNFRSF14-2
42,HSALNG0000288,lnc-FAM213B-2
43,HSALNG0000294,lnc-TTC34-1
44,HSALNG0000302,lnc-TTC34-90
45,HSALNG0000303,LINC00982
46,HSALNG0000307,lnc-TTC34-4
47,HSALNG0000316,lnc-MEGF6-5
48,HSALNG0000337,lnc-WRAP73-1
49,HSALNG0000339,lnc-WRAP73-2
50,HSALNG0000341,lnc-WRAP73-3
51,HSALNG0000361,LINC01134
52,HSALNG0000365,LINC01345
53,HSALNG0000366,LINC01346
54,HSALNG0000367,lnc-DFFB-50
55,HSALNG0000379,LINC01777
56,HSALNG0000388,lnc-C1orf174-72
57,HSALNG0000391,lnc-C1orf174-6
58,HSALNG0000393,LINC01646
59,HSALNG0000420,lnc-NPHP4-69
60,HSALNG0000421,lnc-AJAP1-39
61,HSALNG0000428,lnc-NPHP4-2
62,HSALNG0000439,lnc-NPHP4-64
63,HSALNG0000450,lnc-NPHP4-63
64,HSALNG0000458,lnc-KCNAB2-1
65,HSALNG0000460,lnc-NPHP4-1
66,HSALNG0000507,lnc-ICMT-1
67,HSALNG0000511,LINC00337
68,HSALNG0000514,lnc-ESPN-5
69,HSALNG0000519,lnc-TNFRSF25-1
70,HSALNG0000544,LINC01672
71,HSALNG0000546,lnc-CAMTA1-18
72,HSALNG0000547,CAMTA1-DT
73,HSALNG0000554,lnc-DNAJC11-2
74,HSALNG0000559,CAMTA1-IT1
75,HSALNG0000560,lnc-UTS2-3
76,HSALNG0000562,lnc-UTS2-2
77,HSALNG0000570,lnc-UTS2-8
78,HSALNG0000572,lnc-UTS2-7
79,HSALNG0000579,lnc-CAMTA1-2
80,HSALNG0000582,lnc-UTS2-1
81,HSALNG0000594,lnc-PARK7-8
82,HSALNG0142103,lnc-ERRFI1-29
83,HSALNG0000603,LINC01714
84,HSALNG0000619,lnc-RERE-2
85,HSALNG0000636,lnc-SLC45A1-1
86,HSALNG0000648,lnc-ENO1-2
87,HSALNG0000660,ENO1-AS1
88,HSALNG0000682,MIR34AHG
89,HSALNG0000685,LINC01759
90,HSALNG0000694,lnc-GPR157-4
91,HSALNG0000702,lnc-CLSTN1-2
92,HSALNG0142109,PIK3CD-AS1
93,HSALNG0000719,PIK3CD-AS2
94,HSALNG0000728,lnc-NMNAT1-3
95,HSALNG0000739,lnc-NMNAT1-1
96,HSALNG0000743,lnc-RBP7-1
97,HSALNG0000761,lnc-DFFA-4
98,HSALNG0000763,lnc-PGD-2
99,HSALNG0000769,lnc-DFFA-1
100,HSALNG0000772,lnc-CENPS-CORT-1
101,HSALNG0000859,lnc-MTOR-1
102,HSALNG0000883,LINC01647
103,HSALNG0000884,lnc-FBXO44-18
104,HSALNG0000898,lnc-MTHFR-1
105,HSALNG0000943,lnc-VPS13D-1
106,HSALNG0000950,lnc-DHRS3-1
107,HSALNG0000961,LINC01784
108,HSALNG0000963,lnc-PRAMEF26-2
109,HSALNG0000965,lnc-PRAMEF26-2
110,HSALNG0000968,lnc-PRAMEF15-1
111,HSALNG0000986,lnc-LRRC38-1
112,HSALNG0001012,lnc-LRRC38-3
113,HSALNG0001020,KAZN-AS1
114,HSALNG0001056,TMEM51-AS1
115,HSALNG0001057,lnc-CASP9-7
116,HSALNG0001066,lnc-CASP9-3
117,HSALNG0001067,lnc-CASP9-2
118,HSALNG0001073,lnc-CASP9-1
119,HSALNG0001087,lnc-AGMAT-4
120,HSALNG0001091,lnc-AGMAT-1
121,HSALNG0001104,lnc-AGMAT-6
122,HSALNG0001105,lnc-UQCRHL-3
123,HSALNG0001107,SLC25A34-AS1
124,HSALNG0001133,lnc-HSPB7-1
125,HSALNG0001147,lnc-CLCNKB-1
126,HSALNG0001153,ARHGEF19-AS1
127,HSALNG0141680,LINC01772
128,HSALNG0001185,lnc-NECAP2-2
129,HSALNG0001188,LINC01783
130,HSALNG0001197,lnc-CROCC-8
131,HSALNG0001216,lnc-CROCC-4
132,HSALNG0001229,lnc-MFAP2-5
133,HSALNG0001232,lnc-PADI1-4
134,HSALNG0001233,lnc-MFAP2-53
135,HSALNG0001237,lnc-MFAP2-3
136,HSALNG0001259,lnc-PADI1-1
137,HSALNG0001260,lnc-PADI2-2
138,HSALNG0001269,lnc-PADI6-2
139,HSALNG0001287,lnc-ACTL8-1
140,HSALNG0001300,lnc-IGSF21-67
141,HSALNG0001302,LINC01654
142,HSALNG0001306,IGSF21-AS1
143,HSALNG0001315,lnc-IGSF21-1
144,HSALNG0001387,lnc-TMCO4-1
145,HSALNG0001417,lnc-PLA2G2F-1
146,HSALNG0001418,UBXN10-AS1
147,HSALNG0001427,LINC01757
148,HSALNG0001428,lnc-VWA5B1-22
149,HSALNG0001432,lnc-PLA2G2C-2
150,HSALNG0001434,LINC01141
151,HSALNG0001437,lnc-CAMK2N1-1
152,HSALNG0001441,lnc-FAM43B-20
153,HSALNG0001442,lnc-CAMK2N1-4
154,HSALNG0001461,PINK1-AS
155,HSALNG0001468,lnc-PINK1-1
156,HSALNG0001495,lnc-NBPF3-4
157,HSALNG0001509,lnc-NBPF3-2
158,HSALNG0001522,LINC02596
159,HSALNG0001553,LINC01635
160,HSALNG0001555,CDC42-IT1
161,HSALNG0001589,ZBTB40-IT1
162,HSALNG0001604,lnc-LACTBL1-1
163,HSALNG0001614,lnc-LUZP1-1
164,HSALNG0001619,LINC01355
165,HSALNG0001621,lnc-KDM1A-7
166,HSALNG0001624,ZNF436-AS1
167,HSALNG0001637,lnc-ID3-3
168,HSALNG0001643,lnc-RPL11-1
169,HSALNG0001652,ELOA-AS1
170,HSALNG0001677,lnc-PNRC2-6
171,HSALNG0001687,lnc-PNRC2-2
172,HSALNG0001696,lnc-GRHL3-1
173,HSALNG0001704,lnc-STPG1-1
174,HSALNG0001720,lnc-STPG1-3
175,HSALNG0141702,lnc-CLIC4-6
176,HSALNG0001756,lnc-CLIC4-1
177,HSALNG0001757,lnc-RUNX3-1
178,HSALNG0001764,lnc-RUNX3-4
179,HSALNG0001775,lnc-RHD-1
180,HSALNG0001782,lnc-RHD-4
181,HSALNG0001785,lnc-RHD-2
182,HSALNG0001812,lnc-LDLRAP1-1
183,HSALNG0001821,lnc-AUNIP-3
184,HSALNG0001828,lnc-AUNIP-2
185,HSALNG0001847,lnc-EXTL1-1
186,HSALNG0001890,lnc-ZNF683-1
187,HSALNG0001922,lnc-GPN2-2
188,HSALNG0001945,lnc-SFN-1
189,HSALNG0001971,lnc-SLC9A1-1
190,HSALNG0001991,lnc-GPR3-1
191,HSALNG0001996,lnc-GPR3-2
192,HSALNG0002009,LINC02574
193,HSALNG0002010,lnc-FAM76A-1
194,HSALNG0002017,lnc-PPP1R8-1
195,HSALNG0002026,lnc-EYA3-1
196,HSALNG0002045,lnc-DNAJC8-1
197,HSALNG0002066,SNHG3
198,HSALNG0002075,SNHG12
199,HSALNG0002081,LINC01715
200,HSALNG0002091,lnc-TAF12-3
201,HSALNG0002104,lnc-SRSF4-1
202,HSALNG0002116,lnc-PTPRU-1
203,HSALNG0002120,LINC01756
204,HSALNG0002132,lnc-MECR-2
205,HSALNG0002133,lnc-PTPRU-20
206,HSALNG0002146,LINC01648
207,HSALNG0002156,lnc-PTPRU-5
208,HSALNG0002168,lnc-MATN1-2
209,HSALNG0002169,lnc-ZCCHC17-5
210,HSALNG0002188,MATN1-AS1
211,HSALNG0002197,lnc-LAPTM5-1
212,HSALNG0002198,LINC01778
213,HSALNG0002203,lnc-ZCCHC17-2
214,HSALNG0002219,lnc-FABP3-1
215,HSALNG0002236,LINC01226
216,HSALNG0002240,lnc-PEF1-1
217,HSALNG0002248,lnc-HCRTR1-5
218,HSALNG0002268,lnc-SPOCD1-1
219,HSALNG0002269,lnc-PTP4A2-5
220,HSALNG0002272,lnc-KHDRBS1-4
221,HSALNG0142159,lnc-PTP4A2-13
222,HSALNG0002288,lnc-PTP4A2-1
223,HSALNG0002297,lnc-TMEM234-1
224,HSALNG0002318,lnc-FAM229A-4
225,HSALNG0002338,lnc-SYNC-1
226,HSALNG0002385,lnc-ZNF362-5
227,HSALNG0002390,lnc-AZIN2-5
228,HSALNG0002394,lnc-ZNF362-1
229,HSALNG0002397,lnc-ZNF362-2
230,HSALNG0002415,CSMD2-AS1
231,HSALNG0002446,lnc-DLGAP3-1
232,HSALNG0002450,lnc-GJA4-1
