<<<<<<< HEAD
,91H,MALAT1,lnc-DLK1-35 ,FENDRR
Sample1,0.149973102,0.088090169,0.183569025,0.709504426
Sample2,0.185393019,0.583101915,0.65460999,0.253741272
Sample3,0.730816179,0.805309003,0.535573118,0.256151831
Sample4,0.364594165,0.618573683,0.727803778,0.446124248
Sample5,0.929615398,0.76435154,0.055490903,0.335899499
Sample6,0.401784972,0.460557659,0.26340748,0.919411932
Sample7,0.247402241,0.542943935,0.465391746,0.713748665
Sample8,0.502369269,0.912654062,0.977548612,0.721996298
Sample9,0.2736408,0.282797435,0.12081515,0.15420759
Sample10,0.289255854,0.60024909,0.09089041,0.887994834
=======
,91H,MALAT1,lnc-DLK1-35 ,FENDRR
Sample1,0.149973102,0.088090169,0.183569025,0.709504426
Sample2,0.185393019,0.583101915,0.65460999,0.253741272
Sample3,0.730816179,0.805309003,0.535573118,0.256151831
Sample4,0.364594165,0.618573683,0.727803778,0.446124248
Sample5,0.929615398,0.76435154,0.055490903,0.335899499
Sample6,0.401784972,0.460557659,0.26340748,0.919411932
Sample7,0.247402241,0.542943935,0.465391746,0.713748665
Sample8,0.502369269,0.912654062,0.977548612,0.721996298
Sample9,0.2736408,0.282797435,0.12081515,0.15420759
Sample10,0.289255854,0.60024909,0.09089041,0.887994834
>>>>>>> 62ec91a8086b7b7b8bff08ac6025a36d3fb03e96
